"English Name","FCI Breed Group","AKC Breed Group","Czech Name","German Name","Hungarian Name","Japanese Name","Polish Name","Turkish Name"
"Norfolk Terrier","Group 3: Terriers","Terrier Group","Norfolk terier","Norfolk Terrier","Norfolk terrier","ノーフォーク・テリア","Norfolk Terrier","Norfolk Teriyeri"
"Norrbottenspets","Group 5: Spitz and primitive types","Miscellaneous Class","Norbotenský špic","Norrbottenspitz","Norrbottenspets","ノルボッテンシュペッツ","Norrbottenspets","Norrbottenspets"
"Norwegian Buhund","Group 5: Spitz and primitive types","Herding Group","Norský buhund","Norwegischer Buhund","Norvég buhund","ノルウェー・ブフント","Buhund norweski","Norveç Buhund&#39;u"
"Norwegian Elkhound","Group 5: Spitz and primitive types","Hound Group","Norský losí pes","Norwegischer Elchhund","Norvég elkhound","ノルウェー・エルクハウンド","Elkhound norweski","Norveç Elkhound&#39;u"
"Norwegian Lundehund","Group 5: Spitz and primitive types","Non-Sporting Group","Norský lundehund","Norwegischer Lundehund","Norvég lundehund","ノルウェー・ルンデフンド","Norweski Lundehund","Norveç Lundehund"
"Norwich Terrier","Group 3: Terriers","Terrier Group","Norwich terier","Norwich Terrier","Norwich terrier","ノーリッチ・テリア","Norwich Terrier","Norwich Teriyeri"
"Nova Scotia Duck-Tolling Retriever","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Nova Scotia Duck-Tolling Retriever","Nova Scotia Duck-Tolling Retriever","Új-Skóciai récevadász retriever","ノバスコシア・ダック・トーリング・レトリーバー","Nova Scotia Duck-Tolling Retriever","Nova Scotia Ördek Avlayan Retriever"
"Old Danish Bird Dog","Group 7: Pointing Dogs",NA,"Dánský ohař krátkosrstý","Altdänischer Vorstehhund","Régi dán madárkutya","オールド・デニッシュ・バード・ドッグ","Stary duński pies myśliwski","Eski Danimarka Kuş Köpeği"
"Old English Sheepdog","Group 1: Sheepdogs and Cattledogs","Herding Group","Bobtail","Bobtail","Óangol juhászkutya","オールド・イングリッシュ・シープドッグ","Owczarek staroangielski","Eski İngiliz Çoban Köpeği"
"Olde English Bulldogge",NA,NA,"Olde English Bulldogge","Olde English Bulldogge","Óangol bulldog","オールド・イングリッシュ・ブルドッグ","Stary buldog angielski","Olde English Bulldogge"
"Otterhound","Group 6: Scent hounds and related breeds","Hound Group","Otterhound","Otterhund","Vidravadász kopó","オッターハウンド","Otterhound","Su samuru av köpeği"
"Owczarek Podhalanski (Polish Mountain Sheepdog)",NA,NA,"Podhalaňský ovčák","Owczarek Podhalanski (Polnischer Gebirgsschäferhund)","Owczarek Podhalanski (lengyel hegyi juhászkutya)","オウチャレク・ポドハランスキ（ポーランド・マウンテン・シープドッグ）","Owczarek Podhalański (Polski Owczarek Górski)","Owczarek Podhalanski (Polonya Dağ Çoban Köpeği)"
"Papillon","Group 9: Companion and Toy Dogs","Toy Group","Papillon","Papillon","Papillon","パピヨン","Papillon","Papillon"
"Parson Russell Terrier","Group 3: Terriers","Terrier Group","Parson Russell Teriér","Parson Russell Terrier","Parson Russell terrier","パーソン・ラッセル・テリア","Parson Russell Terrier","Parson Russell Teriyeri"
"Patterdale Terrier",NA,NA,"Patterdale Teriér","Patterdale Terrier","Patterdale terrier","パターデール・テリア","Patterdale Terrier","Patterdale Teriyeri"
"Pekingese","Group 9: Companion and Toy Dogs","Toy Group","Pekingský palácový psík","Pekinese","pekingi","ペキニーズ","pekińczyk","Pekinez"
"Pembroke Welsh Corgi","Group 1: Sheepdogs and Cattledogs","Herding Group","Welsh Corgi Pembroke","Pembroke Welsh Corgi","Pembroke Welsh Corgi","ペンブローク・ウェルシュ・コーギー","Welsh Corgi Pembroke","Pembroke Welsh Corgi"
"Perdiguero de Burgos","Group 7: Pointing Dogs",NA,"Burgoský perdiquero","Perdiguero de Burgos","Perdiguero de Burgos","ペルディゲロ・デ・ブルゴス","Perdiguero de Burgos","Perdiguero de Burgos"
"Perro de Presa Canario","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs",NA,"Presa Canario","Presa Canario","Kanári-szigeteki kutya","ペロ・デ・プレサ・カナリオ","Pies Presa Canario","Perro de Presa Canario"
"Perucian Inca Orchid",NA,"Miscellaneous Class","Peruánský naháč","Peruanische Inka-Orchidee","Perui meztelen kutya","ペルービアン・ヘアレス・ドッグ","Nagi pies peruwiański","Peru İnka Orkidesi"
"Petit Basset Griffon Vendéen","Group 6: Scent hounds and related breeds","Hound Group","Malý hrubosrstý vendéeský baset","Petit Basset Griffon Vendéen","Kis basset griffon vendée-i","プチ・バセット・グリフォン・ヴァンデーン","Petit Basset Griffon Vendéen","Petit Basset Griffon Vendéen"
"Petit Bleu de Gascogne",NA,NA,"Malý modrý gaskoňský honič","Petit Bleu de Gascogne","Kis gasogne-i kék kopó","プチ・ブルー・ド・ガスコーニュ","Petit Bleu de Gascogne","Petit Bleu de Gascogne"
"Petit Bragançon",NA,NA,"Brabantík","Petit Bragançon","Brabanti kis griffon","プチ・ブラバンソン","Petit Bragançon","Küçük Bragançon"
"Petit Gascon-Saintongeois",NA,NA,"Malý gaskoňsko-saintgeoiský honič","Petit Gascon-Saintongeois","Kis gascon-saintongeois-i kopó","プティ・ガスコン＝サントンジョワ","Petit Gascon-Saintongeois","Küçük Gascon-Saintongeois"
"Petit Griffon Bleu de Gascogne","Group 6: Scent hounds and related breeds",NA,"Malý hrubosrstý modrý gaskoňský honič","Petit Griffon Bleu de Gascogne","Gascogne-i kis kék griffon","プティ グリフォン ブルー ド ガスコーニュ","Petit Griffon Bleu de Gascogne","Petit Griffon Bleu de Gascogne"
"Pharaoh Hound","Group 5: Spitz and primitive types","Hound Group","Faraónský pes","Pharaonenhund","Fáraókutya","ファラオハウンド","Pies faraona","Firavun Tazısı"
"Plott",NA,"Hound Group","Plott Hound","Plott Hound","Plott","プロット","Plott","Plott"
"Podenco Canario","Group 5: Spitz and primitive types",NA,"Kanárský podenco","Podenco Canario","Kanári-podenco","ポデンコ・カナリオ","Podenco Canario","Podenco Canario"
"Pointer","Group 7: Pointing Dogs","Sporting Group","Pointer","Pointer","Pointer","ポインター","Pointer","İşaretçi"
"Poitevin",NA,NA,"Poitevin","Poitevin","Poitevin","ポワトヴァン","Poitevin","Poitevin"
"Polish Hound","Group 6: Scent hounds and related breeds",NA,"Polský honič","Polnischer Laufhund","Lengyel kopó","ポーランドハウンド","Polski pies gończy","Polonya Tazısı"
"Polish Lowland Sheepdog",NA,NA,"Polský ovčák nížinný","Polnischer Niederungshütehund","Lengyel alföldi juhászkutya","ポリッシュ・ローランド・シープドッグ","Polski owczarek nizinny","Polonya Ova Çoban Köpeği"
"Pomeranian","Group 5: Spitz and primitive types","Toy Group","Pomeranian","Pomeranian","pomerániai","ポメラニアン","Pomeranian","Pomeranian"
"Poodle (Medium)","Group 9: Companion and Toy Dogs",NA,"Pudl (střední)","Pudel (mittelgroß)","Uszkár (közepes)","プードル（中型）","Pudel (średni)","Kaniş (Orta)"
"Poodle (Miniature)","Group 9: Companion and Toy Dogs",NA,"Pudl (malý)","Pudel (Zwerg)","Uszkár (miniatűr)","プードル（ミニチュア）","Pudel (miniaturowy)","Kaniş (Minyatür)"
"Poodle (Standard)","Group 9: Companion and Toy Dogs","Non-Sporting Group","Pudl (standard)","Pudel (Standard)","Uszkár (standard)","プードル（スタンダード）","Pudel (standardowy)","Kaniş (Standart)"
"Poodle (Toy)","Group 9: Companion and Toy Dogs","Toy Group","Pudl (toy)","Pudel (Toy)","Uszkár (játék)","プードル（トイ）","Pudel (toy)","Kaniş (Oyuncak)"
"Porcelaine","Group 6: Scent hounds and related breeds",NA,"Porcelaine","Porcelaine","Porcelánkopó","ポルスレーヌ","Porcelaine","Porselen"
"Portuguese Podengo","Group 5: Spitz and primitive types","Miscellaneous Class","Portugalský podengo","Portugiesischer Podengo","Portugál podengo","ポデンゴ・ポルトゥゲス","Portugalski Podengo","Portekiz Podengo"
"Portuguese Podengo Pequeno","Group 5: Spitz and primitive types","Hound Group","Portugalský podengo - malý","Portugiesischer Podengo Pequeno","Portugál Podengo Pequeno","ポデンゴ・ポルトゥゲス・ペケーノ","Portugalski Podengo Pequeno","Portekiz Podengo Pequeno"
"Portuguese Pointer",NA,"Foundation Stock Services","Portugalský ohař","Portugiesischer Vorstehhund","Portugál vizsla","ポルトガル・ポインター","Wyżeł portugalski","Portekiz Pointer&#39;ı"
"Portuguese Sheepdog",NA,"Foundation Stock Services","Portugalský ovčák","Portugiesischer Schäferhund","Portugál juhászkutya","ポルトガル・シープドッグ","Owczarek portugalski","Portekiz Çoban Köpeği"
"Portuguese Water Dog","Group 8: Retrievers - Flushing Dogs - Water Dogs","Working Group","Portugalský vodní pes","Portugiesischer Wasserhund","Portugál vízikutya","ポルトガル・ウォーター・ドッグ","Portugalski pies dowodny","Portekiz Su Köpeği"
"Posavaz Hound","Group 6: Scent hounds and related breeds",NA,"Posávský honič","Posavaz-Hund (Posavski Gonič)","Posavazi kutya","ポサヴァズ・ハウンド","Pies rasy Posavaz","Posavaz Tazısı"
"Pudelpointer","Group 7: Pointing Dogs","Foundation Stock Services","Pudlpointr","Pudelpointer","Pudelpointer","プードルポインター","Pudelpointer","Pudelpointer"
"Pug","Group 9: Companion and Toy Dogs","Toy Group","Mops","Mops","Mopsz","パグ","Mops","Boksör"
"Puli","Group 1: Sheepdogs and Cattledogs","Herding Group","Puli","Puli","Puli","プーリー","Puli","Puli"
"Pyrenean Mastiff","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs",NA,"Pyrenejský mastin","Pyrenäenmastiff","Pireneusi masztiff","ピレニアン・マスティフ","Mastif pirenejski","Pirene Mastiffi"
"Pyrenean Shepherd",NA,"Herding Group","Pyrenejský ovčák","Pyrenäenschäferhund","Pireneusi juhászkutya","ピレネーシェパード","Owczarek pirenejski","Pirene Çoban Köpeği"
"Rafeiro do Alentejo","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Foundation Stock Services","Rafeiro do Alentejo","Rafeiro do Alentejo","Alentejo masztiff","ラフェイロ・ド・アレンテージョ","Rafeiro do Alentejo","Alentejo Çoban Köpeği"
"Rastreador Brasileiro","Group 6: Scent hounds and related breeds",NA,"Rastreador Brasileiro","Rastreador Brasileiro","Rastreador Brasileiro","ブラジリアン・トラッカー","Rastreador Brasileiro","Rastreador Brasileiro"
"Rat Terrier",NA,NA,"Rat teriér","Rat Terrier","Patkányterrier","ラット・テリア","Rat Terrier","Sıçan Teriyeri"
"Redbone Coonhound",NA,"Hound Group","Redbone Coonhound","Redbone Coonhound","Vörös mosómedvekopó","レッドボーン・クーンハウンド","Redbone Coonhound","Kırmızı kemikli Coonhound"
"Rhodesian Ridgeback","Group 6: Scent hounds and related breeds","Hound Group","Rhodéský ridgeback","Rhodesian Ridgeback","Rodéziai Ridgeback","ローデシアン・リッジバック","Rhodesian Ridgeback","Rodezya sırtlan köpeği"
"Rottweiler","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Rotvajler","Rottweiler","Rottweiler","ロットワイラー","Rottweiler","Rottweiler"
"Russell Terrier","Group 3: Terriers","Terrier Group","Russell Teriér","Russell Terrier","Russell terrier","ラッセルテリア","Russell Terrier","Russell Teriyeri"
"Russian Toy",NA,"Toy Group","Ruský toy","Russian Toy","Orosz toy terrier","ロシアン・トイ・テリア","Rosyjski toy","Rus Oyuncağı"
"Russian Tsvetnaya Bolonka",NA,NA,"Ruská barevná boloňka","Russische Tsvetnaya Bolonka","Orosz Cvetnaja Bolonka","ボロンカ・ツヴェトナ","Rosyjska Cwietnaja Bolonka","Rusça Tsvetnaya Bolonka"
"Russo-European Laika","Group 5: Spitz and primitive types",NA,"Ruskoevropská lajka","Russisch-Europäischer Laika","Orosz-európai lajka","ラッソ・ヨーロピアン・ライカ","Łajka rosyjsko-europejska","Rus-Avrupa Laikası"
"Saarlooswolfhond","Group 1: Sheepdogs and Cattledogs",NA,"Sarloosův vlčák","Saarlooswolfhund","Saarloosi farkaskutya","ザールロスウルフホンド","Wilczak Saarloosa","Saarloos kurt köpeği"
"Sabueso Español",NA,NA,"Španělský sabueso","Sabueso Español","Sabueso Español","サブエソ・エスパニョール","Sabueso Español","Sabueso Español"
"Saluki","Group 10: Sighthounds",NA,"Saluki","Saluki","Szaluki","サルーキ","Saluki","Saluki"
"Samoyed","Group 5: Spitz and primitive types","Working Group","Samojed","Samojede","Szamojéd","サモエド","Samojed","Samoyed"
"Sanshu",NA,NA,"Sanshu","Sanshu","Sanshu","三河犬","Sanshu","Sanşu"
"Sarplaninac",NA,NA,"Šarplaninský pastevecký pes","Sarplaninac","Sarplaninac","シャルプラニナッツ","Sarplaninac","Sarplaninac"
"Schapendoes",NA,"Foundation Stock Services","Schapendoes","Schapendoes","Schapendoes","シャペンドーズ","Schapendoes","Schapendoes"
"Schiller Hound","Group 6: Scent hounds and related breeds",NA,"Schillerův honič","Schillerstövare","Schiller-kutya","シラーハウンド","Pies Schillera","Schiller Tazısı"
"Schipperke",NA,"Non-Sporting Group","Šiperka","Schipperke","Schipperke","シッパーキ","Schipperke","Schipperke"
"Scottish Deerhound","Group 10: Sighthounds","Hound Group","Deerhound","Schottischer Hirschhund (Scottish Deerhound)","Skót szarvashús","スコティッシュ・ディアハウンド","Szkocki Deerhound","İskoç Geyik Tazısı"
"Scottish Terrier","Group 3: Terriers","Terrier Group","Skotský teriér","Scottish Terrier","Skót terrier","スコティッシュ・テリア","Szkocki terier","İskoç Teriyeri"
"Sealyham Terrier","Group 3: Terriers","Terrier Group","Sealyham terier","Sealyham Terrier","Sealyham terrier","シーリハム・テリア","Sealyham Terrier","Sealyham Teriyeri"
"Serbian Hound","Group 6: Scent hounds and related breeds",NA,"Srbský honič","Serbischer Laufhund","Szerb kopó","セルビアンハウンド","Pies serbski","Sırp Tazısı"
"Serbian Tricolor Hound","Group 6: Scent hounds and related breeds",NA,"Srbský trikolorní honič","Serbischer dreifarbiger Laufhund","Szerb háromszínű kopó","セルビアン・トライカラー・ハウンド","Serbski trójkolorowy pies gończy","Sırp Üç Renkli Tazısı"
"Shetland Sheepdog","Group 1: Sheepdogs and Cattledogs","Herding Group","Sheltie","Shetland Sheepdog","Shetlandi juhászkutya","シェットランド・シープドッグ","Owczarek szetlandzki","Shetland Çoban Köpeği"
"Shiba Inu","Group 5: Spitz and primitive types","Non-Sporting Group","Shiba Inu","Shiba Inu","Shiba Inu","柴犬","Shiba Inu","Şiba Inu"
"Shih Tzu","Group 9: Companion and Toy Dogs","Toy Group","Shih Tzu","Shih Tzu","Shih Tzu","シーズー","Shih Tzu","Shih Tzu"
"Shikoku","Group 5: Spitz and primitive types","Foundation Stock Services","Shikoku","Shikoku","Shikoku","四国犬","Sikoku","Şikoku"
"Shiloh Shepherd",NA,NA,"Shiloh","Shiloh Shepherd","Shiloh pásztor","シロ・シェパード","Pasterz Shiloh","Şilo Çoban"
"Siberian Husky","Group 5: Spitz and primitive types",NA,"Sibiřský husky","Sibirischer Husky","Szibériai husky","シベリアンハスキー","Husky syberyjski","Sibirya Kurdu (Husky)"
"Silky Terrier",NA,"Toy Group","Australský Silky terier","Silky Terrier","Selymes terrier","シルキーテリア","Silky Terrier","İpeksi Terrier"
"Skye Terrier","Group 3: Terriers","Terrier Group","Skye terier","Skye Terrier","Skye terrier","スカイ・テリア","Skye Terrier","Skye Teriyeri"
"Sloughi","Group 10: Sighthounds","Hound Group","Sloughi","Sloughi","Sloughi","スルーギ","Sloughi","Sloughi"
"Slovakian Hound","Group 6: Scent hounds and related breeds",NA,NA,"Slowakischer Laufhund","szlovák kopó","スロバキアン・ハウンド","Słowacki pies gończy","Slovak Tazısı"
"Slovakian Wire-Haired Pointing Dog","Group 7: Pointing Dogs","Foundation Stock Services","Slovenský ohař hrubosrstý","Slowakischer Rauhaar-Vorstehhund","Szlovák drótszőrű vizsla","スロバキアン・ワイヤーヘアード・ポインティング・ドッグ","Słowacki wyżeł szorstkowłosy","Slovak Tel Tüylü İşaret Köpeği"
"Slovensky Cuvac",NA,NA,"Slovenský čuvač","Slowakischer Cuvac","Szlovák kuvasz","スロヴェンスキー・クヴァック","Slovensky Cuvac","Slovensky Cuvac"
"Slovensky Kopov",NA,NA,"Slovenský kopov","Slovensky Kopov","Slovenský Kopov","スロベンスキー・コポフ","Slovensky Kopov","Slovensky Kopov"
"Smaland Hound",NA,NA,"Smalandský honič","Smålandhund","Smålandi kopó","スモーランドハウンド","Pies gończy smalandzki","Smaland Tazısı"
"Small Munsterlander Pointer",NA,"Miscellaneous Class","Malý münsterlandský ohař","Kleiner Münsterländer","Kis münsterlandi vizsla","スモール・ミュンスターレンダー・ポインター","Mały Munsterlander Pointer","Küçük Munsterlander Pointer"
"Smooth Fox Terrier","Group 3: Terriers","Terrier Group","Foxterier hladkosrstý","Glatthaar-Foxterrier","Sima foxterrier","スムース・フォックス・テリア","Foxterier gładkowłosy","Pürüzsüz Fox Terrier"
"Soft-Coated Wheaten Terrier","Group 3: Terriers","Terrier Group","Soft-Coated Wheaten Terrier","Soft Coated Wheaten Terrier","Ír lágyszőrű búzaszínű terrier","ソフトコーテッド・ウィートン・テリア","Soft-Coated Wheaten Terrier","Yumuşak Tüylü Buğday Teriyeri"
"South Russian Ovcharka",NA,NA,"Jihoruský ovčák","Südrussischer Owtscharka","Dél-oroszországi ovcsarka","サウス・ロシアン・シェパード・ドッグ","Owczarek południoworosyjski","Güney Rusya Ovcharkası"
"South Russian Steppe Hound",NA,NA,"Chortaja Borzaja","Südrussischer Steppenhund","Dél-orosz sztyeppei kutya","サウス・ロシアン・ステップハウンド","Południoworosyjski pies stepowy","Güney Rus Bozkır Tazısı"
"Spanish Greyhound","Group 10: Sighthounds",NA,"Španělský galgo","Spanischer Windhund","Spanyol agár","スペイン・グレイハウンド","Chart hiszpański","İspanyol Tazısı"
"Spanish Mastiff","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Foundation Stock Services","Španělský mastin","Spanischer Mastiff","Spanyol masztiff","スペイン・マスティフ","Mastif hiszpański","İspanyol Mastiffi"
"Spanish Water Dog","Group 8: Retrievers - Flushing Dogs - Water Dogs","Herding Group","Španělský vodní pes","Spanischer Wasserhund","Spanyol vízikutya","スパニッシュ・ウォーター・ドッグ","Hiszpański pies dowodny","İspanyol Su Köpeği"
"Spinone Italiano","Group 7: Pointing Dogs","Sporting Group","Italský spinone","Spinone Italiano","Olasz drótszőrű vizsla","スピノーネ・イタリアーノ","Spinone Italiano","Spinone Italiano"
"Sporting Lucas Terrier",NA,NA,"Sporting Lucas terier","Sporting Lucas Terrier","Sporting Lucas terrier","スポーツルーカステリア","Sporting Lucas Terrier","Sportif Lucas Terrier"
"St. Bernard","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Svatobernardský pes","Bernhardiner","Szent Bernát","セントバーナード","Pies św. Bernarda","Aziz Bernard"
"Stabyhoun","Group 7: Pointing Dogs","Foundation Stock Services","Frízský ohař","Stabyhoun","Stabyhoun","スタビーフーン","Stabyhoun","Stabyhoun"
"Staffordshire Bull Terrier",NA,"Terrier Group","Stafordšírský bullterier","Staffordshire Bullterrier","Staffordshire Bull Terrier","スタッフォードシャー・ブル・テリア","Staffordshire Bull Terrier","Staffordshire Bull Teriyeri"
"Standard Schnauzer","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Knírač střední","Standardschnauzer","Közép schnauzer","スタンダードシュナウザー","Sznaucer standardowy","Standart Schnauzer"
"Stephens' Cur",NA,NA,"Stephens' Cur","Stephens' Cur","Stephens'Cur","スティーブンス・カー","Stephens' Cur","Stephens&#39;ın Cur&#39;u"
"Stryian Coarse-Haired Hound","Group 6: Scent hounds and related breeds",NA,"Štýrský brakýř","Steirische Rauhhaarbracke","Stryian durva szőrű kopó","ストリアン・コースヘアード・ハウンド","Stryjski szorstkowłosy pies gończy","Stryian Kaba Tüylü Tazısı"
"Sussex Spaniel","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Sussex španěl","Sussex Spaniel","Sussexi spániel","サセックス・スパニエル","Sussex spaniel","Sussex Spaniel"
"Swedish Elkhound","Group 5: Spitz and primitive types",NA,"Švédský losí pes","Schwedischer Elchhund","Svéd elkhound","スウェーデン・エルクハウンド","Szwedzki elkhound","İsveç Elk Tazısı"
"Swedish Lapphund","Group 5: Spitz and primitive types","Foundation Stock Services","Švédský laponský pes","Schwedischer Lapphund","Svéd lapphund","スウェーディッシュ・ラップフンド","Szwedzki Lapphund","İsveç Lapphund"
"Swedish Vallhund","Group 5: Spitz and primitive types","Herding Group","Švédský vallhund","Schwedischer Vallhund","Svéd juhászkutya","スウェーディッシュ・ヴァルフント","Szwedzki Vallhund","İsveç Vallhund"
"Swiss Hound, Bernese Hound","Group 6: Scent hounds and related breeds",NA,"Švýcarský honič, Bernský","Schweizer Laufhund, Berner Laufhund","Svájci agár, Berni agár","スイスハウンド、バーニーズハウンド","Szwajcarski pies gończy, Berneński pies gończy","İsviçre Tazısı, Bern Tazısı"
"Swiss Hound, Jura Hound","Group 6: Scent hounds and related breeds",NA,"Švýcarský honič, Jurský","Schweizer Laufhund, Jura Laufhund","Svájci kopó, Jura kopó","スイスハウンド、ジュラハウンド","Szwajcarski pies gończy, pies gończy z Jury","İsviçre Tazısı, Jura Tazısı"
"Swiss Hound, Lucerne Hound","Group 6: Scent hounds and related breeds",NA,"Švýcarský honič, Lucernský","Schweizer Laufhund, Luzerner Laufhund","Svájci kopó, Luzerni kopó","スイスハウンド、ルツェルンハウンド","Szwajcarski pies gończy, pies gończy z Lucerny","İsviçre Tazısı, Lucerne Tazısı"
"Swiss Hound, Schwyz Hound","Group 6: Scent hounds and related breeds",NA,"Švýcarský honič, Švycký","Schweizer Laufhund, Schwyzer Laufhund","Svájci kopó, Schwyz kopó","スイスハウンド、シュヴィーツハウンド","Szwajcarski pies gończy, pies gończy Schwyz","İsviçre Tazısı, Schwyz Tazısı"
"Swiss Hound, Small Bernese Hound","Group 6: Scent hounds and related breeds",NA,"Malý švýcarský honič, Bernský","Schweizer Laufhund, Kleiner Berner Laufhund","Svájci agár, kis berni agár","スイスハウンド、スモールバーニーズハウンド","Szwajcarski pies gończy, mały pies berneński","İsviçre Tazısı, Küçük Bern Tazısı"
"Swiss Hound, Small Jura Hound","Group 6: Scent hounds and related breeds",NA,"Malý švýcarský honič, Jurský","Schweizer Laufhund, Jura-Kleinlaufhund","Svájci kopó, Kis Jura kopó","スイスハウンド、スモールジュラハウンド","Szwajcarski gończy, mały gończy jurajski","İsviçre Tazısı, Küçük Jura Tazısı"
"Swiss Hound, Small Lucerne Hound","Group 6: Scent hounds and related breeds",NA,"Malý švýcarský honič, Lucernský","Schweizer Laufhund, Kleiner Luzerner Laufhund","Svájci kopó, Kis lucerni kopó","スイスハウンド、スモールルツェルンハウンド","Szwajcarski pies gończy, mały pies gończy z Lucerny","İsviçre Tazısı, Küçük Lucerne Tazısı"
"Swiss Hound, Small Schwyz Hound","Group 6: Scent hounds and related breeds",NA,"Malý švýcarský honič, Švycký","Schweizer Laufhund, Schwyzer Kleinlaufhund","Svájci kopó, Kis schwyz kopó","スイスハウンド、スモールシュヴィーツハウンド","Szwajcarski pies gończy, mały pies gończy Schwyz","İsviçre Tazısı, Küçük Schwyz Tazısı"
"Taiwan Dog","Group 5: Spitz and primitive types","Foundation Stock Services","Taiwanský pes","Taiwan-Hund","Tajvani kutya","台湾犬","Pies tajwański","Tayvan Köpeği"
"Teddy Roosevelt Terrier",NA,"Miscellaneous Class","Teddy Roosevelt teriér","Teddy Roosevelt Terrier","Teddy Roosevelt terrier","テディ・ルーズベルト・テリア","Teddy Roosevelt Terrier","Teddy Roosevelt Teriyeri"
"Telomian",NA,NA,"Telomian","Telomian","Telomian","テロミアン","Telomian","Telomyan"
"Tenterfield Terrier",NA,NA,"Tenterfield terier","Tenterfield Terrier","Tenterfield terrier","テンターフィールド・テリア","Tenterfield Terrier","Tenterfield Teriyeri"
"Terrier Brasileiro",NA,NA,"Brazilský terier","Brasileiro Terrier","Brazil terrier","テリア・ブラジレイロ","Terrier brazylijski","Terrier Brasileiro"
"Thai Ridgeback","Group 5: Spitz and primitive types","Foundation Stock Services","Thajský ridgeback","Thai Ridgeback","Thai Ridgeback","タイ・リッジバック","Tajski kolczasty","Tayland sırtlan köpeği"
"Tibetan Mastiff","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Tibetská doga","Tibetdogge","Tibeti masztiff","チベタン・マスティフ","Mastif tybetański","Tibet Mastiffi"
"Tibetan Spaniel","Group 9: Companion and Toy Dogs","Non-Sporting Group","Tibetský španěl","Tibetischer Spaniel","Tibeti spániel","チベタン・スパニエル","Spaniel tybetański","Tibet Spaniel"
"Tibetan Terrier","Group 9: Companion and Toy Dogs","Non-Sporting Group","Tibetský terier","Tibet Terrier","Tibeti terrier","チベタン・テリア","Terier tybetański","Tibet Teriyeri"
"Tornjak",NA,"Foundation Stock Services","Tornjak","Tornjak","Tornjak","トルニャク","Tornjak","Tornjak"
"Tosa","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Foundation Stock Services","Tosa","Tosa","Tosa","土佐犬","Tosa","Tosa"
"Toy Fox Terrier",NA,"Toy Group","Toy foxteriér","Toy Fox Terrier","Törpe foxterrier","トイ・フォックス・テリア","Toy Fox Terrier","Oyuncak Fox Terrier"
"Transylvanian Hound","Group 6: Scent hounds and related breeds","Foundation Stock Services","Sedmihradský honič","Siebenbürgischer Laufhund","Erdélyi kopó","トランシルバニアハウンド","Pies transylwański","Transilvanya Tazısı"
"Treeing Cur",NA,NA,"Treeing Cur","Treeing Cur","Treeing Cur","ツリーイング・カー","Treeing Cur","Ağaç Kurdu"
"Treeing Feist",NA,NA,"Treeing Feist","Treeing Feist","Treeing Feist","ツリーイング・フェイスト","Treeing Feist","Ağaç Feist"
"Treeing Tennessee Brindle",NA,"Foundation Stock Services","Treeing Tennessee Brindle","Treeing Tennessee Brindle","Treeing Tennessee Brindle","ツリーイング・テネシー・ブリンドル","Treeing Tennessee Brindle","Ağaçlık Tennessee Brindle"
"Treeing Walker Coonhound",NA,"Hound Group","Treeing Walker Coonhound","Treeing Walker Coonhound","Treeing Walker mosómedvekopó","ツリーイングウォーカー・クーンハウンド","Treeing Walker Coonhound","Ağaçta Yürüyen Coonhound"
"Trigg Hound",NA,NA,"Trigg Hound","Trigg Hound","Trigg kutya","トリッグハウンド","Trigg Hound","Tetik Tazısı"
"Tyrolean Hound","Group 6: Scent hounds and related breeds",NA,"Tyrolský honič","Tiroler Bracke","Tiroli kopó","チロリアンハウンド","Tyrolski pies gończy","Tirol Tazısı"
"Vizsla",NA,"Sporting Group","Maďarský ohař krátkosrstý","Vizsla","Vizsla","ヴィズラ","Wyżeł węgierski krótkowłosy","Vizsla"
"Volpino Italiano","Group 5: Spitz and primitive types","Foundation Stock Services","Italský volpino","Volpino Italiano","Olasz volpinó","ヴォルピーノ・イタリアーノ","Volpino Italiano","Volpino İtalyanca"
"Weimaraner","Group 7: Pointing Dogs","Sporting Group","Výmarský ohař","Weimaraner","Weimari vizsla","ワイマラナー","Wyżeł weimarski","Weimaraner"
"Welsh Springer Spaniel","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Welššpringeršpaněl","Welsh Springer Spaniel","Walesi springer spániel","ウェルシュ・スプリンガー・スパニエル","Springer spaniel walijski","Gal Springer Spaniel"
"Welsh Terrier","Group 3: Terriers","Terrier Group","Welsh terier","Welsh Terrier","Walesi terrier","ウェルシュ・テリア","Terier walijski","Galce Teriyer"
